eid,eulerLeft,eulerRight,site
sub-NDARJH707GJM,46,27,Site-RU
sub-NDARJH99CWH,232,192,Site-RU
sub-NDARJJ413MNH,218,210,Site-RU
sub-NDARJJ767FBH,439,311,Site-RU
sub-NDARJK910PDK,33,28,Site-RU
sub-NDARJL303FKR,21,23,Site-RU
sub-NDARJM036PVX,45,39,Site-RU
sub-NDARJM239GN4,88,76,Site-RU
sub-NDARJM296MDW,130,175,Site-RU
sub-NDARJM828PAL,26,32,Site-RU
sub-NDARJN531EN3,68,95,Site-RU
sub-NDARJP146GT9,37,57,Site-RU
sub-NDARJP444DZM,307,398,Site-RU
sub-NDARJT064LRE,55,30,Site-RU
sub-NDARJT523MV7,228,175,Site-RU
sub-NDARJT588ZAX,142,97,Site-RU
sub-NDARJV268PNW,92,79,Site-RU
sub-NDARJV377HG4,83,61,Site-RU
sub-NDARJW315BUA,276,337,Site-RU
sub-NDARJW373UE3,508,501,Site-RU
sub-NDARJW685KBA,429,432,Site-RU
sub-NDARJX505XD6,82,96,Site-RU
sub-NDARJY033DKZ,102,78,Site-RU
sub-NDARJY141RFE,326,249,Site-RU
sub-NDARJZ089HVP,509,475,Site-RU
sub-NDARJZ274PRQ,56,35,Site-RU
sub-NDARJZ526HN3,37,37,Site-RU
sub-NDARJZ679KXJ,70,48,Site-RU
sub-NDARKA085YRG,284,284,Site-RU
sub-NDARKA627LF8,143,138,Site-RU
sub-NDARKA946MJ1,230,311,Site-RU
sub-NDARKB547TCK,217,182,Site-RU
sub-NDARKC880ZHY,28,39,Site-RU
sub-NDARKD064EVC,24,24,Site-RU
sub-NDARKD134TCX,62,45,Site-RU
sub-NDARKE604RXR,86,105,Site-RU
sub-NDARKE726AMA,67,68,Site-RU
sub-NDARKF779EK2,116,92,Site-RU
sub-NDARKF909WM5,45,44,Site-RU
sub-NDARKG720WXN,93,75,Site-RU
sub-NDARKG859AGN,27,28,Site-RU
sub-NDARKH171DG8,24,17,Site-RU
sub-NDARKH298MA3,285,235,Site-RU
sub-NDARKH444AGK,30,47,Site-RU
sub-NDARKH837TB2,149,111,Site-RU
sub-NDARKJ322ELL,77,75,Site-RU
sub-NDARKK000PNQ,53,40,Site-RU
sub-NDARKK392ZX2,21,27,Site-RU
sub-NDARKK564DB0,176,131,Site-RU
sub-NDARKK732JW3,18,14,Site-RU
sub-NDARKK774VP5,45,47,Site-RU
sub-NDARKL916FDC,353,325,Site-RU
sub-NDARKM497VKX,80,44,Site-RU
sub-NDARKM635UY0,395,309,Site-RU
sub-NDARKM784VA7,46,42,Site-RU
sub-NDARKM941XLL,366,267,Site-RU
sub-NDARKN346XZH,37,42,Site-RU
sub-NDARKN509RP9,203,187,Site-RU
sub-NDARKN848XH8,25,22,Site-RU
sub-NDARKP053GCC,89,76,Site-RU
sub-NDARKP815KPZ,345,292,Site-RU
sub-NDARKP893TWU,65,42,Site-RU
sub-NDARKT811ATJ,373,323,Site-RU
sub-NDARKV965WLU,174,195,Site-RU
sub-NDARKW521EMY,112,109,Site-RU
sub-NDARKW738AMY,104,111,Site-RU
sub-NDARKX665ZD3,39,22,Site-RU
sub-NDARKX701BJ4,29,29,Site-RU
sub-NDARKY667THK,59,66,Site-RU
sub-NDARKZ634RVX,37,22,Site-RU
sub-NDARLB547HJD,38,19,Site-RU
sub-NDARLB671TLU,37,59,Site-RU
sub-NDARLD016VCA,145,164,Site-RU
sub-NDARLD287MLP,50,46,Site-RU
sub-NDARLD738DUM,48,35,Site-RU
sub-NDARLD978JVJ,77,75,Site-RU
sub-NDARLE417FRX,238,250,Site-RU
sub-NDARLE417RA4,290,317,Site-RU
sub-NDARLF032LXH,27,32,Site-RU
sub-NDARLF142AF5,58,48,Site-RU
sub-NDARLF709KNN,67,58,Site-RU
sub-NDARLG154ZA3,23,27,Site-RU
sub-NDARLH979WFX,71,97,Site-RU
sub-NDARLJ148JH2,81,57,Site-RU
sub-NDARLJ334YD0,136,160,Site-RU
sub-NDARLJ356HAQ,385,401,Site-RU
sub-NDARLJ654TZ0,406,399,Site-RU
sub-NDARLJ886BFK,277,244,Site-RU
sub-NDARLL331PW8,62,52,Site-RU
sub-NDARLL720BGU,33,52,Site-RU
sub-NDARLL790WLF,62,47,Site-RU
sub-NDARLL914UW4,138,97,Site-RU
sub-NDARLN070VX7,265,162,Site-RU
sub-NDARLN778RYN,447,353,Site-RU
sub-NDARLN961XGP,33,14,Site-RU
sub-NDARLP246NT6,172,145,Site-RU
sub-NDARLP624GFH,75,49,Site-RU
sub-NDARLR030EW6,22,24,Site-RU
sub-NDARLR620FW6,91,103,Site-RU
sub-NDARLU111UYF,216,176,Site-RU
sub-NDARLU606ZDD,294,271,Site-RU
sub-NDARLX836EHJ,158,178,Site-RU
sub-NDARLY483UNZ,28,29,Site-RU
sub-NDARLY585ZVN,259,201,Site-RU
sub-NDARMA449JDZ,148,151,Site-RU
sub-NDARMC325JCN,470,462,Site-RU
sub-NDARMC759CX3,410,411,Site-RU
sub-NDARMD575AXD,232,133,Site-RU
sub-NDARME100GK1,19,19,Site-RU
sub-NDARME736MN8,30,81,Site-RU
sub-NDARMF508PA2,413,430,Site-RU
sub-NDARMG196KV4,310,295,Site-RU
sub-NDARMH249AWF,28,20,Site-RU
sub-NDARMH559LKK,176,128,Site-RU
sub-NDARMJ334ZK3,303,342,Site-RU
sub-NDARMJ495DE0,164,111,Site-RU
sub-NDARMJ849UKD,60,68,Site-RU
sub-NDARMK416UUQ,130,144,Site-RU
sub-NDARML024FF2,357,289,Site-RU
sub-NDARML406ZB8,274,344,Site-RU
sub-NDARMM005DLK,125,115,Site-RU
sub-NDARMM137PT6,252,352,Site-RU
sub-NDARMM326JCB,86,108,Site-RU
sub-NDARMM951YEH,340,271,Site-RU
sub-NDARMN302YAV,280,398,Site-RU
sub-NDARMN376BMF,38,47,Site-RU
sub-NDARMN690FGZ,367,316,Site-RU
sub-NDARMN695VFH,15,12,Site-RU
sub-NDARMP745EAC,234,233,Site-RU
sub-NDARMP977RHZ,320,432,Site-RU
sub-NDARMR039JV5,15,15,Site-RU
sub-NDARMR277TT7,195,149,Site-RU
sub-NDARMT064WBB,148,101,Site-RU
sub-NDARMT732GKM,183,165,Site-RU
sub-NDARMT784NED,52,58,Site-RU
sub-NDARMT882AWE,18,29,Site-RU
sub-NDARMU053YEU,139,136,Site-RU
sub-NDARMU518TVN,68,61,Site-RU
sub-NDARMU589LP6,575,347,Site-RU
sub-NDARMV274TAY,55,63,Site-RU
sub-NDARMV718DYL,30,32,Site-RU
sub-NDARMW178UDD,37,28,Site-RU
sub-NDARMW473LL1,260,169,Site-RU
sub-NDARMX277VHC,92,68,Site-RU
sub-NDARMY254BGN,192,209,Site-RU
sub-NDARMY294VNE,63,70,Site-RU
sub-NDARMY456WML,34,24,Site-RU
sub-NDARMZ200GVD,367,316,Site-RU
sub-NDARMZ790VHM,555,661,Site-RU
sub-NDARNB674VMY,322,305,Site-RU
sub-NDARNC561KDP,101,113,Site-RU
sub-NDARND348HB3,47,78,Site-RU
sub-NDARND697FLK,133,151,Site-RU
sub-NDARNE196LV0,140,151,Site-RU
sub-NDARNE406XC3,621,581,Site-RU
sub-NDARNE758RD6,73,30,Site-RU
sub-NDARNF341BNN,27,45,Site-RU
sub-NDARNF994TPA,50,64,Site-RU
sub-NDARNH200DA6,18,26,Site-RU
sub-NDARNK055HVH,137,99,Site-RU
sub-NDARNK241ZXA,368,299,Site-RU
sub-NDARNK322PHW,32,23,Site-RU
sub-NDARNK329VC3,27,26,Site-RU
sub-NDARNK740ZVM,40,27,Site-RU
sub-NDARNK768THB,47,45,Site-RU
sub-NDARNK826AFY,609,513,Site-RU
sub-NDARNL807DKC,28,23,Site-RU
sub-NDARNM147CG2,411,483,Site-RU
